,State,City,Pop,PCI,P total,price,rating,review,Total,Price perc
555,mo,harrison,81,33842,3,1.6666666666666667,2.5,8.0,6.0,0.5
556,mo,henry,222,38036,25,1.8,3.64,9.68,116.0,0.21551724137931033
557,mo,marion,222,36467,16,1.8125,2.96875,12.6875,20.0,0.8
558,mo,monroe,151,41250,3,1.6666666666666667,4.0,1.3333333333333333,7.0,0.42857142857142855
559,mo,dallas,328,29793,51,1.7843137254901962,3.196078431372549,10.686274509803921,209.0,0.24401913875598086
560,mo,polk,743,30573,2,1.5,4.5,2.5,6.0,0.3333333333333333
561,mo,clay,1325,43140,102,1.8529411764705883,2.980392156862745,29.19607843137255,395.0,0.2582278481012658
562,mo,cooper,1849,34347,40,1.775,3.125,11.9,129.0,0.31007751937984496
563,mo,morgan,1431,37968,49,1.6734693877551021,3.4285714285714284,12.653061224489797,222.0,0.22072072072072071
564,mo,atchison,366,53154,14,1.6428571428571428,3.7142857142857144,8.928571428571429,49.0,0.2857142857142857
565,mo,nodaway,771,28986,8,1.875,3.6875,16.125,14.0,0.5714285714285714
566,mo,pike,3726,32905,60,1.7,3.15,21.8,176.0,0.3409090909090909
567,mo,boone,316,42194,28,1.75,3.3035714285714284,17.464285714285715,106.0,0.2641509433962264
568,mo,oregon,765,27034,13,1.7692307692307692,3.8076923076923075,12.307692307692308,21.0,0.6190476190476191
569,mo,cass,1233,40815,92,1.815217391304348,2.9565217391304346,26.141304347826086,344.0,0.26744186046511625
570,mo,jefferson,502,36892,16,1.75,2.96875,12.75,20.0,0.8
571,mo,new madrid,2857,30964,14,1.7142857142857142,3.107142857142857,7.428571428571429,20.0,0.7
572,mo,carroll,1032,44693,14,1.8571428571428572,3.892857142857143,8.928571428571429,74.0,0.1891891891891892
573,mo,mercer,304,38727,3,1.3333333333333333,4.0,3.6666666666666665,5.0,0.6
574,mo,miller,683,32258,6,1.8333333333333333,4.083333333333333,4.833333333333333,12.0,0.5
575,mo,benton,857,33046,17,1.8823529411764706,3.764705882352941,13.588235294117647,36.0,0.4722222222222222
576,mo,butler,4038,33838,28,1.8928571428571428,3.517857142857143,10.321428571428571,83.0,0.3373493975903614
577,mo,camden,186,33069,12,2.0,3.7916666666666665,18.25,69.0,0.17391304347826086
578,mo,cape girardeau,39853,39642,14,1.7857142857142858,3.2857142857142856,11.071428571428571,18.0,0.7777777777777778
579,mo,clark,290,34319,25,1.76,3.3,11.96,89.0,0.2808988764044944
580,mo,franklin,95,38008,6,2.0,2.9166666666666665,18.5,11.0,0.5454545454545454
581,mo,gasconade,214,34772,8,2.0,3.3125,11.125,15.0,0.5333333333333333
582,mo,clinton,8947,39940,4,2.0,3.875,6.25,6.0,0.6666666666666666
583,mo,jackson,14994,40881,16,1.8125,3.40625,10.9375,20.0,0.8
584,mo,jasper,965,35333,14,1.7857142857142858,4.178571428571429,12.571428571428571,49.0,0.2857142857142857
585,mo,laclede,327,31349,6,2.0,3.5833333333333335,6.5,8.0,0.75
