State,City,Pop,PCI,price,rating,review,Price perc
in,hendricks,1276,42937,3.1666666666666665,4.291666666666667,27.333333333333332,0.012269938650306749
in,vermillion,877,35532,3.0,3.9166666666666665,25.333333333333332,0.03389830508474576
in,fayette,2600,35734,3.0,4.0,11.75,0.03361344537815126
in,gibson,1168,40959,3.25,4.0,12.0,0.04597701149425287
in,floyd,4051,47171,3.0,3.6666666666666665,21.555555555555557,0.02
in,washington,12149,33987,3.4,3.8,7.6,0.05154639175257732
in,warren,1209,42455,3.2,3.5,11.8,0.02717391304347826
in,wabash,10054,38314,3.2,4.1,16.4,0.028901734104046242
in,tipton,5104,40206,3.0,4.0,9.0,0.16666666666666666
in,sullivan,4097,31374,3.0,4.833333333333333,5.333333333333333,0.0625
in,spencer,2248,39496,3.0,3.0,21.0,0.1111111111111111
in,porter,4825,45101,3.0,2.75,14.5,0.13333333333333333
in,morgan,976,39004,3.0,3.9583333333333335,24.416666666666668,0.012219959266802444
in,montgomery,347,37697,3.4,3.8,7.6,0.052083333333333336
in,marion,28047,46320,3.0,4.0,9.0,0.1
in,lawrence,49046,34913,3.1,4.1,18.65,0.03773584905660377
in,knox,3535,41101,3.0,3.0,13.0,0.14285714285714285
in,jasper,15568,40597,3.6666666666666665,3.6666666666666665,11.0,0.3
in,elkhart,52367,38511,3.5,3.0,2.5,0.06451612903225806
in,decatur,9843,38304,3.0,4.0,13.0,0.025157232704402517
in,clinton,4717,34936,3.0,4.75,7.5,0.08
in,wayne,952,36972,3.0,3.5,19.714285714285715,0.03580562659846547
in,jefferson,1131,37002,3.0,3.6875,20.5,0.052980132450331126
in,lagrange,2748,34987,3.2222222222222223,3.7777777777777777,17.88888888888889,0.03103448275862069
in,adams,34460,35449,3.6,4.1,13.2,0.03048780487804878
in,union,962,34404,3.0,4.333333333333333,10.333333333333334,0.05357142857142857
in,howard,2558,36841,3.0,4.222222222222222,25.88888888888889,0.013533834586466165
in,brown,2647,40633,3.0,4.5,36.0,0.0012626262626262627
in,henry,2934,33164,3.0,4.25,4.666666666666667,0.03636363636363636
