,State,City,Pop,DataValue
1331,MN,Norman,257,"39,225"
1333,MN,Rock,177,"51,342"
1334,MN,Martin,379,"48,864"
1335,MN,Sibley,252,"43,743"
1336,MN,Scott,145,"51,927"
1337,MN,Stevens,72,"54,452"
1338,MS,Coahoma,329,"30,204"
1339,MS,George,277,"31,656"
1340,MS,Grenada,12466,"31,056"
1341,MS,Jackson,164422,"34,845"
1345,MS,Jones,1121,"37,554"
1346,MS,Madison,25676,"58,444"
1347,MS,Marion,1479,"29,193"
1348,MS,Newton,3223,"33,198"
1349,MS,Pontotoc,6144,"29,277"
1350,MS,Prentiss,952,"27,723"
1351,MS,Quitman,2111,"24,420"
1352,MS,Sunflower,1007,"26,883"
1353,MS,Tishomingo,331,"29,121"
1354,MS,Tunica,916,"30,581"
1355,MS,Union,1924,"29,254"
1358,MO,Benton,857,"33,046"
1361,MO,Butler,4038,"33,838"
1363,MO,Camden,186,"33,069"
1365,MO,Cape Girardeau,39853,"39,642"
1368,MO,Clark,290,"34,319"
1372,MO,Clinton,8947,"39,940"
1377,MO,Franklin,95,"38,008"
1379,MO,Gasconade,214,"34,772"
1380,MO,Holt,475,"46,764"
1383,MO,Jackson,14994,"40,881"
1392,MO,Jasper,965,"35,333"
1393,MO,Laclede,327,"31,349"
1394,MO,Lewis,515,"33,665"
1395,MO,Lincoln,1191,"34,561"
1402,MO,Linn,1607,"36,069"
1403,MO,Macon,5355,"35,456"
1404,MO,Madison,541,"33,844"
1408,MO,Mercer,304,"38,727"
1409,MO,Miller,683,"32,258"
1411,MO,New Madrid,2857,"30,964"
1412,MO,Oregon,765,"27,034"
1413,MO,Ozark,20188,"27,850"
1416,MO,Perry,694,"36,259"
1417,MO,Ray,28993,"36,379"
1418,MO,St. Charles,70764,"46,189"
1419,MO,St. Clair,4698,"28,289"
1420,MO,Ste. Genevieve,4442,"35,322"
1421,MO,St. Louis,302838,"61,078"
1423,MO,Sullivan,7108,"42,852"
1426,MO,Washington,14055,"26,048"
1435,MO,Howard,527,"35,953"
1437,MO,Osage,1714,"42,259"
1440,MO,Chariton,234,"43,074"
1441,MO,Harrison,81,"33,842"
1445,MO,Jefferson,502,"36,892"
1450,MO,Marion,222,"36,467"
1454,MO,Monroe,151,"41,250"
1457,MO,Dallas,328,"29,793"
1459,MO,Polk,743,"30,573"
1461,MO,Clay,1325,"43,140"
1464,MO,Cooper,1849,"34,347"
1465,MO,Morgan,1431,"37,968"
1466,MO,Atchison,366,"53,154"
1467,MO,Nodaway,771,"28,986"
1468,MO,Pike,3726,"32,905"
1469,MO,Boone,316,"42,194"
1470,MO,Carroll,1032,"44,693"
1471,MO,Cass,1233,"40,815"
1472,MO,Henry,222,"38,036"
1473,MT,Cascade,685,"41,893"
1474,MT,Deer Lodge,2916,"34,245"
1475,MT,Missoula,74428,"40,858"
1476,MT,Sheridan,750,"57,613"
1477,MT,Wibaux,625,"46,461"
1478,NE,Franklin,942,"42,262"
1481,NE,Grant,1131,"57,030"
1487,NE,Kearney,33761,"84,898"
1488,NE,Kimball,2360,"45,619"
