,State,City,Pop,PCI,price,rating,review,PP
157,ia,osceola,5193,57030,1.2,2.75,17.9,0.0019256691700365878
158,ia,monroe,1874,38175,1.5,3.9642857142857144,22.142857142857142,0.007470651013874066
159,ia,monona,1477,43238,1.25,4.5,6.0,0.002708192281651997
160,ia,mitchell,131,57565,1.5,3.8125,6.625,0.061068702290076333
161,ia,marshall,27068,38463,1.5,4.125,21.1875,0.0005911038865080538
162,ia,marion,39979,40851,1.5625,3.40625,38.175,0.0020010505515395583
163,ia,lucas,209,37890,1.5555555555555556,4.055555555555555,24.555555555555557,0.0430622009569378
164,ia,plymouth,363,52006,1.625,4.171875,22.65625,0.0881542699724518
165,ia,adair,704,45386,1.0,3.75,22.5,0.005681818181818182
166,id,boise,228790,36229,1.6956521739130435,3.816425120772947,127.56038647342996,0.0009047598234188558
167,id,twin falls,49764,35300,1.5333333333333334,3.466666666666667,65.64444444444445,0.000904268145647456
168,id,jerome,11807,37126,1.3,4.05,14.5,0.0008469551960701278
169,id,payette,7527,35582,1.4285714285714286,4.178571428571429,39.42857142857143,0.0018599707718878703
170,id,gooding,3473,58373,1.3333333333333333,4.166666666666667,7.333333333333333,0.0008638065073423554
171,id,franklin,828,32130,1.25,2.75,9.75,0.004830917874396135
172,id,shoshone,1511,33851,1.4175824175824177,3.565934065934066,33.714285714285715,0.060225016545334215
173,id,teton,733,31214,1.4666666666666666,3.6333333333333333,57.3,0.040927694406548434
174,id,kootenai,922,38416,1.6,4.2,45.0,0.005422993492407809
175,id,minidoka,113,35533,1.4,3.9,45.1,0.08849557522123894
