State,City,Pop,PCI,price,rating,review,Price perc
co,yuma,3460,52760,1.25,2.875,4.25,0.4444444444444444
co,kit carson,238,35048,1.1428571428571428,3.75,42.57142857142857,0.56
co,kiowa,757,52054,1.4285714285714286,3.3214285714285716,24.785714285714285,0.7
co,gunnison,6594,40429,1.85,4.0,83.2,0.6666666666666666
co,eagle,6961,60847,1.7777777777777777,3.9444444444444446,58.888888888888886,0.72
co,dolores,958,33107,1.8,3.7,37.8,0.625
co,denver,716492,68046,1.8520408163265305,4.145408163265306,428.6683673469388,0.06758620689655172
co,delta,8920,33209,1.7142857142857142,3.857142857142857,22.571428571428573,0.4666666666666667
co,crowley,167,18464,1.3846153846153846,4.076923076923077,21.46153846153846,0.325
co,alamosa,9997,32221,1.4666666666666666,4.133333333333334,97.13333333333334,0.3125
co,las animas,2190,37013,1.3333333333333333,4.166666666666667,19.733333333333334,0.22388059701492538
ct,windham,24706,41381,1.523076923076923,3.707692307692308,50.0,0.3333333333333333
ct,tolland,14655,50980,1.8235294117647058,4.029411764705882,70.17647058823529,0.2982456140350877
ct,litchfield,8127,56884,1.7307692307692308,3.8076923076923075,55.84615384615385,0.26262626262626265
ct,new haven,130418,50286,1.6216216216216217,3.772972972972973,120.13513513513513,0.22616136919315402
ct,new london,26939,51200,1.7727272727272727,3.7196969696969697,82.5909090909091,0.29464285714285715
ct,hartford,122587,57564,1.6386138613861385,3.7054455445544554,111.62376237623762,0.2650918635170604
ct,fairfield,61952,102612,1.6453900709219857,3.719858156028369,67.87943262411348,0.27325581395348836
de,new castle,5529,49300,1.4761904761904763,3.438775510204082,45.054421768707485,0.2975708502024291
fl,sarasota,57738,54984,1.7846153846153847,4.0487179487179485,164.03076923076924,0.15
fl,palm beach,8802,66126,1.5769230769230769,3.7371794871794872,108.12820512820512,0.20855614973262032
fl,madison,2797,28449,1.2,3.85,11.9,0.7142857142857143
fl,lee,328,44543,1.1538461538461537,3.6923076923076925,17.153846153846153,0.5652173913043478
fl,alachua,9949,38638,1.375,3.875,43.6875,0.5714285714285714
fl,okeechobee,5731,28601,1.5714285714285714,4.071428571428571,45.5,0.23333333333333334
