,City,State,2018estimate,2010Census,Change,2016 land area,2016 land area.1
218,Athens,Georgia,125964,115452,+9.11%,116.4 sq mi,301.5 km2
219,Topeka,Kansas,125904,127473,−1.23%,61.5 sq mi,159.3 km2
220,Simi Valley,California,125851,124237,+1.30%,41.5 sq mi,107.5 km2
221,Fargo,North Dakota,124844,105549,+18.28%,49.3 sq mi,127.7 km2
222,Norman,Oklahoma,123471,110925,+11.31%,178.8 sq mi,463.1 km2
223,Columbia,Missouri,123180,108500,+13.53%,65.0 sq mi,168.3 km2
224,Abilene,Texas,122999,117063,+5.07%,106.7 sq mi,276.4 km2
225,Wilmington,North Carolina,122607,106476,+15.15%,51.6 sq mi,133.6 km2
226,Hartford,Connecticut,122587,124775,−1.75%,17.4 sq mi,45.1 km2
227,Victorville,California,122312,115903,+5.53%,73.3 sq mi,189.8 km2
228,Pearland,Texas,122149,91252,+33.86%,46.3 sq mi,119.9 km2
229,Vallejo,California,121913,115942,+5.15%,30.7 sq mi,79.5 km2
230,Ann Arbor,Michigan,121890,113934,+6.98%,28.1 sq mi,72.8 km2
231,Berkeley,California,121643,112580,+8.05%,10.5 sq mi,27.2 km2
232,Allentown,Pennsylvania,121433,118032,+2.88%,17.5 sq mi,45.3 km2
233,Richardson,Texas,120981,99223,+21.93%,28.6 sq mi,74.1 km2
234,Odessa,Texas,120568,99940,+20.64%,45.2 sq mi,117.1 km2
235,Arvada,Colorado,120492,106433,+13.21%,38.6 sq mi,100.0 km2
236,Cambridge,Massachusetts,118977,105162,+13.14%,6.4 sq mi,16.6 km2
237,Sugar Land,Texas,118600,78817,+50.48%,34.0 sq mi,88.1 km2
238,Beaumont,Texas,118428,118296,+0.11%,82.1 sq mi,212.6 km2
239,Lansing,Michigan,118427,114297,+3.61%,39.1 sq mi,101.3 km2
240,Evansville,Indiana,117963,117429,+0.45%,47.3 sq mi,122.5 km2
241,Rochester,Minnesota,116961,106769,+9.55%,54.6 sq mi,141.4 km2
242,Independence,Missouri,116925,116830,+0.08%,77.8 sq mi,201.5 km2
243,Fairfield,California,116884,105321,+10.98%,40.9 sq mi,105.9 km2
244,Provo,Utah,116702,112488,+3.75%,41.7 sq mi,108.0 km2
