,GeoName,TimePeriod,DataValue
366,"Hamilton, FL",2014,"22,939"
367,"Hardee, FL",2014,"26,182"
368,"Hendry, FL",2014,"28,853"
369,"Hernando, FL",2014,"32,612"
370,"Highlands, FL",2014,"30,973"
371,"Hillsborough, FL",2014,"42,026"
372,"Holmes, FL",2014,"26,309"
373,"Indian River, FL",2014,"66,315"
374,"Jackson, FL",2014,"28,005"
375,"Jefferson, FL",2014,"36,405"
376,"Lafayette, FL",2014,"24,365"
377,"Lake, FL",2014,"36,508"
378,"Lee, FL",2014,"44,543"
379,"Leon, FL",2014,"38,999"
380,"Levy, FL",2014,"31,204"
381,"Liberty, FL",2014,"21,650"
382,"Madison, FL",2014,"28,449"
383,"Manatee, FL",2014,"41,509"
384,"Marion, FL",2014,"32,613"
385,"Martin, FL",2014,"69,411"
386,"Miami-Dade, FL",2014,"42,064"
387,"Monroe, FL",2014,"71,573"
388,"Nassau, FL",2014,"48,867"
389,"Okaloosa, FL",2014,"43,838"
390,"Okeechobee, FL",2014,"28,601"
391,"Orange, FL",2014,"38,266"
392,"Osceola, FL",2014,"28,781"
393,"Palm Beach, FL",2014,"66,126"
394,"Pasco, FL",2014,"35,194"
395,"Pinellas, FL",2014,"46,137"
396,"Polk, FL",2014,"32,603"
397,"Putnam, FL",2014,"27,737"
398,"St. Johns, FL",2014,"59,434"
399,"St. Lucie, FL",2014,"34,546"
400,"Santa Rosa, FL",2014,"39,489"
401,"Sarasota, FL",2014,"54,984"
402,"Seminole, FL",2014,"41,339"
403,"Sumter, FL",2014,"38,656"
404,"Suwannee, FL",2014,"29,425"
405,"Taylor, FL",2014,"26,165"
406,"Union, FL",2014,"18,710"
407,"Volusia, FL",2014,"36,664"
408,"Wakulla, FL",2014,"30,703"
409,"Walton, FL",2014,"48,818"
410,"Washington, FL",2014,"25,999"
411,"Appling, GA",2014,"28,961"
412,"Atkinson, GA",2014,"25,145"
413,"Bacon, GA",2014,"28,635"
414,"Baker, GA",2014,"34,190"
415,"Baldwin, GA",2014,"29,192"
416,"Banks, GA",2014,"30,942"
417,"Barrow, GA",2014,"32,273"
418,"Bartow, GA",2014,"33,267"
419,"Ben Hill, GA",2014,"28,533"
420,"Berrien, GA",2014,"26,610"
421,"Bibb, GA",2014,"37,066"
422,"Bleckley, GA",2014,"30,926"
423,"Brantley, GA",2014,"23,363"
424,"Brooks, GA",2014,"31,146"
425,"Bryan, GA",2014,"47,006"
426,"Bulloch, GA",2014,"28,375"
427,"Burke, GA",2014,"30,989"
