,State,City,Pop,PCI,price,rating,review,Total,PP
80,co,delta,8920,33209,1.8,3.8666666666666667,21.8,30.0,0.0033632286995515697
81,co,crowley,167,18464,1.3846153846153846,4.076923076923077,21.46153846153846,40.0,0.23952095808383234
82,co,alamosa,9997,32221,1.4666666666666666,4.133333333333334,97.13333333333334,48.0,0.004801440432129639
83,co,las animas,2190,37013,1.3333333333333333,4.166666666666667,19.733333333333334,67.0,0.030593607305936073
84,ct,windham,24706,41381,1.523076923076923,3.707692307692308,50.0,195.0,0.007892819558002105
85,ct,tolland,14655,50980,1.9444444444444444,3.9444444444444446,67.05555555555556,57.0,0.0038894575230296827
86,ct,litchfield,8127,56884,2.03125,3.828125,67.34375,99.0,0.012181616832779624
87,ct,new haven,130418,50286,1.6787564766839378,3.77720207253886,125.60103626943005,818.0,0.006272140348724869
88,ct,new london,26939,51200,1.791044776119403,3.716417910447761,82.65671641791045,224.0,0.008315082222799659
89,ct,hartford,122587,57564,1.6952380952380952,3.7095238095238097,115.29523809523809,762.0,0.006215993539282306
90,ct,fairfield,61952,102612,1.7248322147651007,3.7181208053691277,69.1006711409396,516.0,0.008329028925619835
91,de,new castle,5529,49300,1.4864864864864864,3.439189189189189,45.33108108108108,494.0,0.08934707903780069
92,fl,sarasota,57738,54984,1.875598086124402,4.047846889952153,161.6267942583732,1300.0,0.02251550105649659
93,fl,palm beach,8802,66126,1.713450292397661,3.763157894736842,113.94152046783626,748.0,0.08498068620768007
94,fl,madison,2797,28449,1.2,3.85,11.9,14.0,0.0050053628888094386
95,fl,lee,328,44543,1.1538461538461537,3.6923076923076925,17.153846153846153,23.0,0.0701219512195122
96,fl,alachua,9949,38638,1.375,3.875,43.6875,28.0,0.0028143532013267664
97,fl,okeechobee,5731,28601,1.5714285714285714,4.071428571428571,45.5,60.0,0.010469377072064212
98,ga,jefferson,11704,28456,1.3580246913580247,3.3641975308641974,39.7037037037037,271.0,0.02315447710184552
99,ga,madison,4155,31698,1.5625,3.84375,40.25,36.0,0.008664259927797834
100,ga,mitchell,193,29523,1.173913043478261,3.760869565217391,11.26086956521739,102.0,0.5284974093264249
101,ga,monroe,13573,39206,1.3636363636363635,3.8181818181818183,21.818181818181817,66.0,0.00486259485743756
102,ga,morgan,1846,41424,1.326797385620915,3.4281045751633985,15.418300653594772,668.0,0.361863488624052
103,ga,oglethorpe,1159,34291,1.1666666666666667,4.083333333333333,5.333333333333333,8.0,0.006902502157031924
104,ga,pulaski,269,25958,1.4210526315789473,3.56140350877193,22.17543859649123,223.0,0.828996282527881
105,ga,quitman,3703,26489,1.25,4.0,6.0,10.0,0.0027005130974885228
106,ga,screven,761,29505,1.5833333333333333,4.458333333333333,16.0,50.0,0.0657030223390276
107,ga,washington,4001,31659,1.4285714285714286,3.5714285714285716,4.571428571428571,15.0,0.003749062734316421
108,ga,white,722,30534,1.295774647887324,3.1338028169014085,34.309859154929576,240.0,0.33240997229916897
109,ga,macon,153095,28018,1.4615384615384615,3.4038461538461537,39.97115384615385,373.0,0.0024363957020150885
110,ga,oconee,244,55452,1.5135135135135136,3.5405405405405403,43.270270270270274,91.0,0.3729508196721312
111,ga,jasper,3941,32539,1.6470588235294117,4.147058823529412,61.0,70.0,0.017761989342806393
112,ga,newton,579,29625,1.0,2.4,5.1,17.0,0.02936096718480138
113,ga,haralson,193,31520,1.9,3.8,100.6,27.0,0.13989637305699482
114,ga,gordon,1882,30915,1.3542857142857143,3.5542857142857143,31.34285714285714,720.0,0.38257173219978746
115,ga,forsyth,4117,54651,1.3571428571428572,3.5714285714285716,39.0,27.0,0.006558173427252854
116,ga,douglas,11616,31349,1.75,3.9166666666666665,16.666666666666668,46.0,0.003960055096418733
117,ga,decatur,25732,31946,1.680672268907563,3.5840336134453783,193.92436974789916,351.0,0.01364060314005907
118,ga,dawson,4102,37402,1.0,3.2857142857142856,10.857142857142858,13.0,0.0031691857630424185
119,ga,crawford,832,29600,1.5,2.75,5.5,7.0,0.008413461538461538
120,ga,colquitt,1824,27507,1.5,4.5,14.5,5.0,0.0027412280701754384
121,ga,cobb,346,48253,1.3333333333333333,3.466666666666667,25.573333333333334,248.0,0.7167630057803468
122,ga,clayton,2183,25550,1.6,4.1,79.53333333333333,36.0,0.016491067338524967
123,ga,calhoun,16966,21655,1.3076923076923077,4.230769230769231,35.07692307692308,72.0,0.004243781681009077
124,ga,brooks,555,31146,1.4537037037037037,3.324074074074074,48.02777777777778,352.0,0.6342342342342342
125,ga,bartow,256,33267,1.5,3.3181818181818183,47.68181818181818,147.0,0.57421875
126,ga,baldwin,3384,29192,1.5384615384615385,3.8846153846153846,37.23076923076923,50.0,0.014775413711583925
127,ga,jackson,5083,34627,1.2950819672131149,3.2295081967213113,41.31147540983606,209.0,0.04111745032461145
128,hi,honolulu,347397,50988,1.8385650224215246,4.089686098654709,678.9730941704036,2700.0,0.007772087841863919
129,ia,boone,12470,45036,1.2857142857142858,3.357142857142857,14.285714285714286,22.0,0.001764234161988773
130,ia,hamilton,133,50618,1.4583333333333333,3.8958333333333335,14.083333333333334,99.0,0.7443609022556391
131,ia,greene,1068,48116,1.4285714285714286,4.089285714285714,9.892857142857142,97.0,0.09082397003745318
132,ia,fremont,718,43944,1.7,3.675,15.0,117.0,0.16295264623955433
133,ia,franklin,134,50235,1.4166666666666667,3.6666666666666665,18.5,33.0,0.2462686567164179
134,ia,floyd,318,41127,1.5,3.45,9.5,13.0,0.040880503144654086
135,ia,benton,41,47565,1.0,4.136363636363637,7.363636363636363,20.0,0.4878048780487805
136,ia,hancock,195,50657,1.3636363636363635,4.136363636363637,19.181818181818183,69.0,0.35384615384615387
137,ia,fayette,1374,39680,1.4,3.6,4.8,11.0,0.008005822416302766
138,ia,des moines,216853,46007,1.6331658291457287,3.809045226130653,87.94974874371859,1000.0,0.004611418795220725
139,ia,delaware,151,44837,1.6,4.2,4.2,6.0,0.039735099337748346
140,ia,clinton,25184,39659,1.5625,3.84375,28.125,67.0,0.0026604193138500634
141,ia,clayton,39,44107,1.4583333333333333,3.8333333333333335,13.541666666666666,80.0,2.051282051282051
142,ia,cherokee,4900,55347,1.3333333333333333,3.4444444444444446,5.333333333333333,13.0,0.002653061224489796
